t,navigation_valid,navigation_degraded,failsafe,dvl_ok
60.084,True,True,False,False
60.127,True,True,False,False
60.174,True,True,False,False
60.215,True,True,False,False
60.259,True,True,False,False
60.302,True,True,False,False
60.344,True,True,False,False
60.39,True,True,False,False
60.434,True,True,False,False
60.472,True,True,False,False
60.519,True,True,False,False
60.558,True,True,False,False
60.601,True,False,False,True
60.647,True,False,False,True
60.693,True,False,False,True
60.735,True,False,False,True
60.784,True,False,False,True
60.825,True,False,False,True
60.869,True,False,False,True
60.917,True,False,False,True
60.962,True,False,False,True
61.003,True,False,False,True
61.05,True,False,False,True
61.095,True,False,False,True
61.134,True,False,False,True
61.182,True,False,False,True
61.227,True,False,False,True
61.268,True,False,False,True
61.315,True,False,False,True
61.362,True,False,False,True
61.405,True,False,False,True
61.447,True,False,False,True
61.489,True,False,False,True
61.534,True,False,False,True
61.58,True,False,False,True
61.628,True,False,False,True
61.671,True,False,False,True
61.718,True,False,False,True
61.763,True,False,False,True
61.803,True,False,False,True
61.847,True,False,False,True
61.893,True,False,False,True
61.938,True,False,False,True
61.983,True,False,False,True
62.032,True,False,False,True
62.077,True,False,False,True
62.116,True,False,False,True
62.163,True,False,False,True
62.208,True,False,False,True
62.252,True,False,False,True
62.299,True,False,False,True
62.342,True,False,False,True
62.387,True,False,False,True
62.433,True,False,False,True
62.479,True,False,False,True
62.518,True,False,False,True
62.567,True,True,False,False
62.609,True,True,False,False
62.652,True,True,False,False
62.7,True,True,False,False
62.746,True,True,False,False
62.788,True,True,False,False
62.832,True,True,False,False
62.87,True,True,False,False
62.913,True,True,False,False
