t,signal,value
0.43938779830932617,imu_gyro_x_radps,0.009000000000000001
0.43938779830932617,imu_gyro_y_radps,-0.0125
0.43938779830932617,imu_gyro_z_radps,-0.002
0.4450056552886963,imu_accel_x_mps2,0.073
0.4450056552886963,imu_accel_y_mps2,-0.061
0.4450056552886963,imu_accel_z_mps2,9.642
0.4450056552886963,imu_gyro_x_radps,0.0095
0.4450056552886963,imu_gyro_y_radps,-0.012
0.4450056552886963,imu_gyro_z_radps,-0.00275
0.45437145233154297,imu_accel_x_mps2,0.096
0.45437145233154297,imu_accel_y_mps2,0.056
0.45437145233154297,imu_accel_z_mps2,9.735
0.45437145233154297,imu_gyro_x_radps,0.01
0.45437145233154297,imu_gyro_y_radps,-0.0115
0.45437145233154297,imu_gyro_z_radps,-0.00375
0.45934057235717773,imu_accel_x_mps2,0.185
0.45934057235717773,imu_accel_y_mps2,-0.036000000000000004
0.45934057235717773,imu_accel_z_mps2,9.647
0.45934057235717773,imu_gyro_x_radps,0.010750000000000001
0.45934057235717773,imu_gyro_y_radps,-0.012
0.45934057235717773,imu_gyro_z_radps,-0.003
0.4650087356567383,imu_accel_x_mps2,0.099
0.4650087356567383,imu_accel_y_mps2,0.042
0.4650087356567383,imu_accel_z_mps2,9.745000000000001
0.4650087356567383,imu_gyro_x_radps,0.00775
0.4650087356567383,imu_gyro_y_radps,-0.0105
0.4650087356567383,imu_gyro_z_radps,-0.0022500000000000003
0.4692826271057129,imu_accel_x_mps2,0.09
0.4692826271057129,imu_accel_y_mps2,0.041
0.4692826271057129,imu_accel_z_mps2,9.571
0.4692826271057129,imu_gyro_x_radps,0.009000000000000001
0.4692826271057129,imu_gyro_y_radps,-0.01025
0.4692826271057129,imu_gyro_z_radps,-0.001
0.4745955467224121,imu_accel_x_mps2,0.194
0.4745955467224121,imu_accel_y_mps2,-0.054
0.4745955467224121,imu_accel_z_mps2,9.716000000000001
0.4745955467224121,imu_gyro_x_radps,0.01
0.4745955467224121,imu_gyro_y_radps,-0.00875
0.4745955467224121,imu_gyro_z_radps,-0.0025
0.4792673587799072,imu_accel_x_mps2,0.02
0.4792673587799072,imu_accel_y_mps2,-0.076
0.4792673587799072,imu_accel_z_mps2,9.538
0.4792673587799072,imu_gyro_x_radps,0.0095
0.4792673587799072,imu_gyro_y_radps,-0.0085
0.4792673587799072,imu_gyro_z_radps,-0.002
0.4843025207519531,imu_accel_x_mps2,0.098
0.4843025207519531,imu_accel_y_mps2,-0.009000000000000001
0.4843025207519531,imu_accel_z_mps2,9.655
0.4843025207519531,imu_gyro_x_radps,0.01025
0.4843025207519531,imu_gyro_y_radps,-0.00925
0.4843025207519531,imu_gyro_z_radps,-0.00175
0.48932886123657227,imu_accel_x_mps2,0.066
0.48932886123657227,imu_accel_y_mps2,0.079
0.48932886123657227,imu_accel_z_mps2,9.641
